gene_id	midas_1EE_S42_Xp_blk	midas_1EM_S18_Xp_blk	midas_1XE_S43_Xp_blk	midas_1XM_S19_Xp_blk	midas_2EE_S44_Xp_blk	midas_2EM_S20_Xp_blk	midas_2XE_S45_Xp_blk	midas_2XM_S21_Xp_blk	midas_3EE_S46_Xp_blk	midas_3EM_S22_Xp_blk	midas_3XE_S47_Xp_blk	midas_3XM_S23_Xp_blk	midas_4EE_S48_Xp_blk	midas_4EM_S24_Xp_blk	midas_4XE_S49_Xp_blk	midas_4XM_S25_Xp_blk	midas_5EE_S50_Xp_blk	midas_5EM_S26_Xp_blk	midas_5XE_S51_Xp_blk	midas_5XM_S27_Xp_blk	midas_6EE_S52_Xp_blk	midas_6EM_S28_Xp_blk	midas_6XE_S53_Xp_blk	midas_6XM_S29_Xp_blk
SUPERPANG_00001	602.6814814814802	469.0888888888883	164.73333333333326	1.7629629629629628	562.0074074074068	365.6296296296294	60.0	18.451851851851853	537.2814814814807	405.18518518518425	340.2518518518512	0.5703703703703704	489.1999999999992	400.5037037037028	294.11111111111074	1.9037037037037037	408.4222222222219	324.0222222222218	151.22222222222217	12.85925925925926	574.3925925925918	510.2296296296287	6.074074074074074	2.1185185185185187
SUPERPANG_00002	1279.2021276594992	942.9219858155611	294.32801418440044	2.858156028368795	1214.4042553190748	871.0443262411045	162.0496453900721	49.012411347517705	1107.6170212765371	890.8634751772735	784.1418439716072	2.9609929078014194	1065.0478723403717	927.6453900708846	633.2641843971562	4.542553191489361	956.0124113474817	635.3989361702066	308.4078014184427	48.66489361702125	1135.308510638238	996.5673758864809	17.515957446808507	10.57978723404255
SUPERPANG_00003	987.4175438596644	726.2929824561537	220.80350877193112	2.103508771929824	933.2368421052792	644.3947368421154	122.47543859649099	49.67368421052641	819.8421052631703	644.2666666666755	664.1280701754494	2.1543859649122807	773.7754385965037	664.6666666666782	464.2842105263221	2.5052631578947366	744.947368421062	460.6210526315855	221.3929824561416	30.714035087719285	860.5438596491359	702.9210526315892	13.305263157894736	4.996491228070176
SUPERPANG_00004	1070.5916666666826	747.9458333333395	222.0291666666663	5.6083333333333325	892.4166666666772	635.4875000000026	126.44999999999993	40.03750000000002	909.3041666666775	619.3750000000019	643.9083333333363	2.3916666666666666	734.8791666666709	713.454166666672	480.3541666666657	4.341666666666667	840.7250000000064	496.75833333333276	230.2041666666664	24.708333333333343	915.3833333333449	686.4791666666702	13.929166666666665	10.7625
SUPERPANG_00005	1151.6297903108984	871.4201012291978	275.9088937093233	6.174258857556042	1123.5798987707724	801.7281272595686	166.02241503976646	47.61099060014443	1106.880694143153	807.7671728127154	755.5596529284047	6.474331164135939	918.0817064352734	846.7310195227624	557.1005061460515	6.270426608821405	927.6023138105426	596.6890817064256	299.09255242226607	40.34996384670996	1115.3571945046838	843.1315979754045	15.979031091829384	8.988430947216209
SUPERPANG_00006	857.3283132529756	1018.2690763051605	254.76706827309877	5.202811244979921	1071.1345381525316	923.2981927710406	130.15160642570197	60.148594377509916	1299.4708835340075	973.5652610441191	729.5622489959663	1.9909638554216875	837.8775100401253	1004.0632530119819	653.5210843373441	7.735943775100399	1006.4236947790763	644.3373493975872	366.5692771084442	42.57730923694781	1296.9919678713725	998.40461847384	15.853413654618459	8.23795180722891
SUPERPANG_00007	1808.642791551718	1187.3324150596209	411.21671258036935	6.679522497704313	1589.2662993570877	1066.5179063360436	240.87327823691308	70.33241505968756	2302.3443526168503	1127.9761248851644	1068.2047750229078	2.464646464646465	1340.24242424234	1185.2011019283077	759.6427915518801	7.385674931129471	1387.05325987136	817.5169880624318	558.8236914600799	54.62809917355353	1935.7805325985519	1279.2617079889026	24.541781450872328	12.787878787878796
SUPERPANG_00008	1414.2044334976738	1034.1346469623254	320.5977011494277	5.800492610837434	1342.9121510674483	964.1740558293081	172.7668308702762	58.22742200328438	1682.0648604270943	943.903119868713	876.7594417077916	3.589490968801315	1051.3325123153622	1012.5008210181487	677.4170771757421	6.7520525451559905	1131.0041050903965	674.8505747126901	533.6625615763816	42.96633825944189	1572.7413793104838	1056.6206896552587	19.836617405582942	9.92939244663382
SUPERPANG_00009	1663.4709302324802	1068.4534883721835	344.81007751937386	7.476744186046508	1512.1928294573302	1006.033914728777	205.1686046511602	67.29651162790728	2124.7781007750564	1034.978682170642	1041.2645348838223	3.697674418604652	1259.4234496124393	1067.1870155039678	700.9399224806511	7.259689922480622	1281.0503875969246	739.206395348879	859.2538759690541	59.99515503875992	1808.2781007750818	1146.2936046512302	23.80813953488369	12.863372093023258
SUPERPANG_00010	1440.9269005846515	990.0526315789876	330.60526315789406	4.34795321637427	1293.4415204677623	877.7992202729351	173.87231968810815	52.45126705653009	1408.3606237815502	895.1130604288849	879.768031189122	3.7738791423001956	1093.4064327485507	944.4600389863947	593.8518518518658	4.91130604288499	1116.7651072124693	627.7904483430978	483.7417153996181	50.35477582845992	1456.066276802973	1047.327485380148	17.807017543859676	10.469785575048736
